Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2021,0,5,408.8,442.42,160.61,12.95,2.77,43.19,462
2,1,2021,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482
3,1,2021,1,7,225.07,239.04,170.95,10.93,1.4,44.29,263
4,1,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207
5,1,2021,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149
6,1,2021,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252
7,1,2021,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288
8,1,2021,0,5,140.05,184.29,102.61,10.34,0.79,43.06,248
9,1,2021,0,6,144.01,192.43,108.43,10.41,0.85,42.23,326
10,1,2021,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284
11,1,2021,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281
12,1,2021,0,2,172.48,220.74,111.52,10.21,0.91,41.69,329
13,1,2021,0,3,224.71,330.04,125.83,7.27,1.22,31.49,378
14,1,2021,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422
15,1,2021,0,5,462.62,517.76,178.15,10.11,2.51,25.81,456
16,1,2021,0,6,185.66,230.76,124.98,7.39,1.65,27.53,388
17,1,2021,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342
18,1,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401
19,1,2021,0,2,227.93,299.28,185.82,12.98,1.69,23.02,400
20,1,2021,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322
21,1,2021,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328
22,1,2021,0,5,310.98,358,181.5,4.4,2.29,26.88,412
23,1,2021,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362
24,1,2021,1,7,230.38,287.86,123.99,3.05,0.81,27.77,370
25,1,2021,0,1,186.34,311.67,17.33,6.28,1.25,25.82,345
26,1,2021,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369
27,1,2021,0,3,216.71,397.43,34.5,7.94,1.23,24.33,371
28,1,2021,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373
29,1,2021,0,5,301.61,396.57,118.81,4.94,2.28,21.55,440
30,1,2021,0,6,209.05,306.17,99.31,4.76,1.46,30.8,363
31,1,2021,1,7,222.87,323.33,123.23,4.43,2.06,26.95,368
1,2,2021,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400
2,2,2021,0,2,304.79,416.62,127.92,6.06,2.5,24.16,408
3,2,2021,0,3,209.32,299,159.84,3.83,1.92,28.02,367
4,2,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352
5,2,2021,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142
6,2,2021,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261
7,2,2021,1,7,180.68,241.07,96.85,5.47,1.18,34.4,279
8,2,2021,0,1,243.78,369.18,108.35,4.32,1.73,30.28,375
9,2,2021,0,2,226.95,332.06,149.74,4.89,1.89,27.91,385
10,2,2021,0,3,250.09,373.71,139.35,5.43,2.4,27.67,359
11,2,2021,0,4,201.81,317.99,105.41,4.6,1.72,24.75,370
12,2,2021,0,5,240.74,352.71,109.33,3.8,1.96,30.18,310
13,2,2021,0,6,165.42,213.89,114.93,4.35,2.45,21.25,319
14,2,2021,1,7,198.9,286.26,104.33,4.7,2.07,28.86,371
15,2,2021,0,1,174.53,292.2,112.66,3.85,2,18.42,335
16,2,2021,0,2,182.05,278.41,116.09,3.87,1.81,25.66,344
17,2,2021,0,3,214.19,333.83,102.23,4.54,1.86,23.61,367
18,2,2021,0,4,167.49,249.49,97.38,4.55,1.7,24.92,335
19,2,2021,0,5,186.42,276.56,100.15,4.89,2.08,17.37,340
20,2,2021,0,6,127.6,208.49,84.16,4.04,1.9,21.84,293
21,2,2021,1,7,209.65,300.97,87.44,3.43,1.85,36.61,356
22,2,2021,0,1,206.34,334.88,107.27,3.83,2.07,34.37,352
23,2,2021,0,2,201,367.24,102.69,6.75,1.98,29.32,339
24,2,2021,0,3,243.42,420.65,111.14,6.47,2.78,27.42,350
25,2,2021,0,4,193.5,352.73,89.82,4.2,2.07,27.52,337
26,2,2021,0,5,164.34,297.78,101.71,3.68,1.99,23.51,295
27,2,2021,0,6,81.79,268.51,36.22,3.64,1.16,33.52,225
28,2,2021,1,7,98.08,239.96,35.06,5.51,0.75,50.07,235
1,3,2021,0,1,97.62,247.38,32.72,5.71,0.72,43.21,187
2,3,2021,0,2,100.87,272.73,27.87,8.86,0.53,58.17,227
3,3,2021,0,3,131.63,264.11,36.28,10.91,1,37.3,259
4,3,2021,0,4,157.94,343.04,40.72,7.16,1.96,41.65,276
5,3,2021,0,5,139.43,309.98,34.06,4.88,1.05,43.07,290
6,3,2021,0,6,121.86,257.23,32.67,6.38,0.87,42.58,257
7,3,2021,1,7,154.41,300.45,38.21,7.92,2.38,50.3,270
8,3,2021,0,1,110.05,233.19,43.89,4.32,1.46,42.61,227
9,3,2021,0,2,157.38,323.11,38.29,3.27,1.52,32.2,297
10,3,2021,0,3,91.85,192.7,39.4,3.58,0.74,26.03,205
11,3,2021,1,4,121.57,233.44,56.27,4.22,1.7,31.05,262
12,3,2021,0,5,85.57,207.14,50.96,4.43,1.16,25.73,203
13,3,2021,0,6,138.97,245.6,42.87,4.24,1.23,26.71,236
14,3,2021,1,7,132.36,253.72,39.84,4.11,0.74,30.27,251
15,3,2021,0,1,126.93,265.71,40.58,3.79,0.86,28.14,219
16,3,2021,0,2,146.41,391.08,39.3,3.5,0.86,20.61,277
17,3,2021,0,3,138.5,358.46,40.96,4.95,0.78,20.82,352
18,3,2021,0,4,152.31,380.31,41.81,4.93,1.03,20.78,313
19,3,2021,0,5,114.38,311.33,42.18,4.77,0.76,27.42,298
20,3,2021,0,6,145.03,284.59,54.15,5.57,1.04,17.7,264
21,3,2021,1,7,186,404.45,16.67,17.52,0.92,24.98,316
22,3,2021,0,1,85.87,328,13.09,8.61,0.73,18.14,283
23,3,2021,0,2,75.4,281.04,105.4,6.32,1.75,17.33,232
24,3,2021,0,3,90.99,181.2,69.97,6.43,0.88,37.66,177
25,3,2021,0,4,83.85,208.21,8.58,8.25,0.53,19.28,194
26,3,2021,0,5,110.6,228.02,12.28,14.86,0.7,22.46,221
27,3,2021,0,6,166.83,307.27,13.77,23.44,0.85,27.62,268
28,3,2021,1,7,181.38,336.8,15.77,19.59,0.85,29.59,268
29,3,2021,1,1,111.31,356.5,66.61,7.14,1.56,37.62,215
30,3,2021,0,2,71.45,378.18,4.43,8.69,0.57,40.79,248
31,3,2021,0,3,67.01,293.43,40.76,16.02,0.49,58.43,152
1,4,2021,0,4,62.95,278.87,40.55,28.06,0.88,62.68,231
2,4,2021,1,5,85.17,218.59,58.47,31.37,1.23,45.1,197
3,4,2021,0,6,69.14,189.48,69.28,17.71,1.4,43.44,159
4,4,2021,1,7,94.37,250.37,78.08,28.72,1.66,35.48,198
5,4,2021,0,1,76.91,230.03,79.56,20.31,1.81,54.96,188
6,4,2021,0,2,172.48,455.72,18.73,17.63,1.18,47.63,377
7,4,2021,0,3,78.51,293.92,9,9.48,0.57,39.89,304
8,4,2021,0,4,72.39,179.66,54.12,9.76,1.4,50.08,152
9,4,2021,0,5,62.75,170.91,55.34,15.53,1.36,55.41,157
10,4,2021,0,6,89.09,241.68,67.94,25.88,1.65,41.17,189
11,4,2021,1,7,83.4,223.02,64.4,20.13,1.65,42.99,181
12,4,2021,0,1,116.89,295.56,79.81,22.39,1.79,39.73,226
13,4,2021,0,2,119,314.03,74.66,26.81,1.78,39.16,279
14,4,2021,1,3,73.31,234.69,56.01,18.07,1.41,42.58,214
15,4,2021,0,4,97.54,286.71,60.28,22.82,1.58,42.53,235
16,4,2021,0,5,132.11,323.16,71.69,19.4,1.69,43.17,232
17,4,2021,0,6,51.27,130.61,42.83,2.59,1.23,27.52,142
18,4,2021,1,7,87.02,197.75,49.58,6.28,1.57,35.45,161
19,4,2021,0,1,99.27,260.87,54.65,9.73,1.51,38.11,212
20,4,2021,0,2,70.73,204.81,45.32,17.39,1.3,58.95,178
21,4,2021,0,3,56.54,128.35,31.87,4.41,1.2,44.01,132
22,4,2021,0,4,53.53,129.73,40.15,5.22,1.38,62,152
23,4,2021,0,5,43.49,106.79,40,4.76,1.29,57.59,112
24,4,2021,0,6,57.98,117.01,41.59,6.82,1.29,56.1,96
25,4,2021,1,7,104.76,189.19,48.65,16.52,1.69,60.4,217
26,4,2021,0,1,202.91,341.63,73.25,34.42,2.53,51,288
27,4,2021,0,2,206.86,365.74,77.02,23.55,2.75,51.18,295
28,4,2021,0,3,237.88,432.09,80.54,28.81,2.82,43.01,321
29,4,2021,0,4,215.39,406.98,58.3,25.24,2.21,60.72,303
30,4,2021,0,5,187.38,445.59,11.65,23.63,0.77,35.28,346
1,5,2021,0,6,75.01,238.18,46.08,10.7,1.34,69.86,214
2,5,2021,1,7,83.06,226.18,47.95,11.67,0.69,41.76,193
3,5,2021,0,1,105.77,294.37,39.74,11.49,0.72,27.37,258
4,5,2021,0,2,79.05,188.93,41.41,9.68,0.63,22.98,163
5,5,2021,0,3,69.61,170.36,38.87,5.29,0.86,59.57,151
6,5,2021,0,4,54.81,163.54,36.33,4.5,0.62,47.71,128
7,5,2021,0,5,52.47,100.82,42.37,4.33,0.59,42.39,110
8,5,2021,0,6,99.07,257.6,56.43,4.48,0.88,37.87,167
9,5,2021,1,7,59.8,135.69,42.85,4.63,0.68,53.07,195
10,5,2021,0,1,51.08,94.49,58.1,4.82,0.81,45.97,88
11,5,2021,0,2,57.75,120.48,44.78,5.09,0.46,56.12,111
12,5,2021,0,3,43.88,141.98,40.29,5.94,0.44,45.14,114
13,5,2021,0,4,46.61,83.62,35.88,5.15,0.61,54.08,105
14,5,2021,1,5,61.6,120.48,41.78,5.21,0.75,52.06,130
15,5,2021,0,6,48.99,159.97,41.5,5.51,0.48,38.87,128
16,5,2021,1,7,69.96,131.21,51.09,6.72,0.91,50.72,177
17,5,2021,0,1,99.12,211.16,77.57,6.99,1.5,19.69,203
18,5,2021,0,2,30.87,64.67,39.29,5.45,0.44,32.34,92
19,5,2021,0,3,38.92,42.26,29.65,5.05,0.48,41.58,72
20,5,2021,0,4,58.5,43.06,27.87,5.22,0.41,43.84,48
21,5,2021,0,5,41.1,79.41,48.59,5.34,0.6,52.13,59
22,5,2021,0,6,41.11,61.27,37.99,5.52,0.62,52.32,70
23,5,2021,1,7,157.53,474.62,35.79,5.42,0.41,44.67,297
24,5,2021,0,1,61.78,137.99,34.39,5.75,0.35,56.43,134
25,5,2021,0,2,51.73,124.95,42.21,6.34,0.36,65.92,122
26,5,2021,1,3,65.16,149.77,50.38,6.57,0.67,49.01,137
27,5,2021,0,4,66.99,154.61,64.92,5.8,1.12,41.62,140
28,5,2021,0,5,36.43,85.77,37.42,4.95,0.74,61.64,95
29,5,2021,0,6,27.2,80.39,30.89,5.49,0.54,55.57,76
30,5,2021,1,7,28.44,138.19,32.34,5.37,0.53,53.79,102
31,5,2021,0,1,44.64,125.09,64.13,5.12,0.93,24.98,113
1,6,2021,0,2,44.7,108.78,30.79,5.15,0.5,66.73,107
2,6,2021,0,3,61.13,124.94,39.91,5.03,0.77,28.9,132
3,6,2021,0,4,75.96,144.07,39.25,5.17,0.85,66.52,118
4,6,2021,0,5,96.17,183.07,43.35,5,1,68.98,216
5,6,2021,0,6,47.42,139.41,49.1,6.32,0.66,39.25,104
6,6,2021,1,7,56.79,205.74,41.7,7,0.59,25.73,181
7,6,2021,0,1,73.07,192.02,49.94,7.69,0.88,30.31,158
8,6,2021,0,2,96.43,384.33,47.65,7.84,0.8,15.49,194
9,6,2021,0,3,75.25,350.71,42.75,6.91,0.55,23.66,348
10,6,2021,0,4,62.83,219.08,41.92,7.56,0.9,38.08,218
11,6,2021,0,5,50.98,134.62,52.56,7.44,0.64,48.9,127
12,6,2021,0,6,37.69,95.55,85.93,9.98,0.66,27.65,114
13,6,2021,1,7,38.56,73.37,69.08,8.53,0.65,29.04,97
14,6,2021,0,1,44.43,100.54,66.48,8.66,0.71,34.16,88
15,6,2021,0,2,36.99,119.58,65.44,9.02,0.51,29.73,97
16,6,2021,0,3,41.19,92.69,51.18,8.11,0.78,39.87,123
17,6,2021,0,4,49.51,84.06,43.13,7.09,0.95,48.44,85
18,6,2021,0,5,35.59,58.46,43.56,7.31,0.63,50.58,70
19,6,2021,0,6,37.02,58.77,48.51,7.89,0.52,27.99,63
20,6,2021,1,7,27.82,34.46,44.46,8.03,0.42,30.84,54
21,6,2021,0,1,31.18,67.07,44.71,7.21,0.74,44.43,55
22,6,2021,0,2,51.51,159.71,38.19,8.02,0.67,38.95,108
23,6,2021,0,3,95.84,285.92,50.92,8.78,0.8,33.85,236
24,6,2021,0,4,56.41,152.56,42,8.26,0.84,55.86,129
25,6,2021,0,5,65.38,226.41,41.52,8.51,0.61,39.63,182
26,6,2021,0,6,46.95,158.6,48.7,10.45,0.84,26.44,138
27,6,2021,1,7,72.04,166.74,47.39,9.44,1.02,54.78,150
28,6,2021,0,1,63.33,149.28,41.92,9.49,0.89,54.9,136
29,6,2021,0,2,77.96,237.98,47.58,9.92,0.92,40.47,196
30,6,2021,0,3,87.86,415.77,44.54,7.87,0.56,21.44,215
1,7,2021,0,4,56.77,289.39,34.89,7.66,0.47,21.55,302
2,7,2021,0,5,64.92,291.96,35.87,7.4,0.62,31.75,280
3,7,2021,0,6,39.55,136.24,36.65,6.61,0.59,46.81,140
4,7,2021,1,7,67.12,164.01,51.56,7.19,0.92,47.31,126
5,7,2021,0,1,66.23,223.87,33.63,7.18,0.49,38.63,151
6,7,2021,0,2,51.65,250.51,30.24,7.64,0.46,49.21,239
7,7,2021,0,3,66.85,223.86,36.65,8.32,0.57,43.92,179
8,7,2021,0,4,53.3,238.31,31.66,9.54,0.33,25.64,196
9,7,2021,0,5,40.09,95.93,36.45,7.87,0.72,33.01,133
10,7,2021,0,6,31.78,72.43,32.48,7.86,0.71,16.44,82
11,7,2021,1,7,38.91,88.44,29.15,7.62,0.67,23.58,79
12,7,2021,0,1,34.46,72.26,33.47,7.23,0.61,31.73,77
13,7,2021,0,2,29.09,44.2,33.56,7.46,0.56,21.52,59
14,7,2021,0,3,40.07,103.57,36.41,7.42,0.74,25.88,75
15,7,2021,0,4,38.79,53.48,31.25,7.92,0.63,25.04,65
16,7,2021,0,5,44.13,83.13,35.36,8.81,0.66,19.68,70
17,7,2021,0,6,54.56,117.34,42.77,9.35,0.72,15.47,92
18,7,2021,1,7,34.43,71.7,41.59,8.63,0.71,16.82,92
19,7,2021,0,1,38.03,15.72,28.7,8.94,0.41,22.44,41
20,7,2021,0,2,40.13,64.37,7.66,2.88,0.56,14.86,77
21,7,2021,1,3,40.55,75.73,41.05,8.58,1.27,40.19,65
22,7,2021,0,4,29.84,43.57,23.74,7.65,0.56,58.83,58
23,7,2021,0,5,36.58,72.89,31.29,7.12,0.76,81.23,75
24,7,2021,0,6,49.88,90.47,26.76,6.55,0.94,79.73,94
25,7,2021,1,7,59.63,78.24,33.41,5.91,0.64,115.87,213
26,7,2021,0,1,47.02,79.43,26.14,5.57,0.69,106.1,130
27,7,2021,0,2,42.01,54.57,21.44,7,0.68,29.48,90
28,7,2021,0,3,24.57,32.89,16.14,6.06,0.58,23.33,34
29,7,2021,0,4,31.12,60.07,18.29,6.78,0.65,22.73,49
30,7,2021,0,5,29.74,40.97,56.05,7.3,0.8,29.3,53
31,7,2021,0,6,37.02,80.5,20.07,6.39,0.81,28.98,55
1,8,2021,1,7,45.89,59.77,19.15,9.89,0.88,18.48,99
2,8,2021,0,1,44.42,56.22,21.79,12.87,0.98,17.44,76
3,8,2021,0,2,33.9,53.49,23.08,13.88,0.54,13.18,54
4,8,2021,0,3,35.7,69.66,23.56,12.16,0.5,19.4,59
5,8,2021,0,4,48.55,86.49,24.25,12.05,0.54,21.78,93
6,8,2021,0,5,49.27,96.53,6.8,3.61,1.16,16.85,104
7,8,2021,0,6,57.15,98.51,24.04,8.28,0.81,15.96,106
8,8,2021,1,7,49.75,64.09,28.19,7.55,0.89,13.84,88
9,8,2021,0,1,58.02,88,30.15,7.7,1.19,14.77,97
10,8,2021,0,2,46.72,149.79,29.09,7.71,0.58,14.54,101
11,8,2021,0,3,53.16,164.97,44.66,8.15,0.48,15.95,146
12,8,2021,0,4,40.67,151.31,26.57,8.24,0.41,39.92,151
13,8,2021,0,5,41.29,167.99,22.04,7.46,0.47,66.02,139
14,8,2021,0,6,42.79,190.31,23.75,7.37,0.43,68.92,166
15,8,2021,1,7,37.18,123.48,20.61,8.16,0.43,68.21,119
16,8,2021,0,1,40.98,134.95,20.99,7.28,0.48,57.5,115
17,8,2021,0,2,55.64,159.26,18.93,7.48,0.63,53.16,144
18,8,2021,0,3,66.42,167.05,21.59,7.54,0.75,57,146
19,8,2021,0,4,84.47,181.2,30.64,7.75,1.02,64.39,163
20,8,2021,1,5,45.09,66.46,24.28,9.13,0.68,56.36,107
21,8,2021,0,6,28,24.6,24.01,7.63,0.57,45.26,49
22,8,2021,1,7,38.59,46.83,46.07,7.44,0.94,39.06,53
23,8,2021,0,1,41.84,71.74,30.66,6.6,0.78,41.03,73
24,8,2021,0,2,51.28,93.19,29.03,7.41,1.07,39.93,86
25,8,2021,0,3,45.47,141.03,32.64,7.61,0.65,44.65,108
26,8,2021,0,4,45.32,158.52,27,6.86,0.52,47.87,125
27,8,2021,0,5,46.5,158.08,29.94,6.88,0.47,41.37,146
28,8,2021,0,6,47.74,123.63,38.53,6.91,0.77,31.44,131
29,8,2021,1,7,58.68,116.87,25.47,7.14,0.79,34.54,111
30,8,2021,1,1,25.59,46.3,25.33,7.63,0.42,32.27,67
31,8,2021,0,2,29.47,39.15,27.81,7.24,0.62,33.01,45
1,9,2021,0,3,31.18,28.48,23.23,7.11,0.53,33.35,53
2,9,2021,0,4,42.23,53.21,22.78,7.46,0.93,34.63,37
3,9,2021,0,5,37.07,45.6,27.61,8.53,0.56,33.25,53
4,9,2021,0,6,40.13,50.65,32.74,8.71,1.3,29.96,46
5,9,2021,1,7,48.88,78.56,31.81,9.96,1.68,39.8,86
6,9,2021,0,1,66.59,94.23,33.14,8.55,1.56,45.01,126
7,9,2021,0,2,45.95,70.27,25.04,8.55,0.58,40.35,94
8,9,2021,0,3,36.32,73.63,26.7,8.7,0.66,39.22,61
9,9,2021,0,4,41.9,80.16,34.95,8.88,0.71,44.57,84
10,9,2021,0,5,41.77,72.74,30.49,8.89,0.58,38.25,77
11,9,2021,0,6,31.73,31.49,29.61,8.78,0.44,35.2,49
12,9,2021,1,7,37.69,53.58,25.28,8.83,0.56,34.77,37
13,9,2021,0,1,35.27,51.81,24.77,8.89,0.65,35.23,67
14,9,2021,0,2,34.25,67.3,22.61,7.69,0.48,33.55,44
15,9,2021,0,3,35.11,79.59,40.22,3.59,0.89,26.56,71
16,9,2021,0,4,41.28,75.33,39.2,3.85,1.22,22.11,95
17,9,2021,0,5,23.99,44.07,26.73,3.76,0.35,10.26,37
18,9,2021,0,6,31.95,64.68,4.46,1.92,1.1,13.02,60
19,9,2021,1,7,40.98,94.91,7.13,2.2,1.12,15.55,89
20,9,2021,0,1,40.95,98.19,8.41,2.46,0.97,17.79,91
21,9,2021,0,2,33.1,70.33,8.45,1.93,1.02,13.28,89
22,9,2021,0,3,31.75,57.01,5.94,2.15,1,12.7,54
23,9,2021,0,4,33.85,68.68,32.63,8.31,0.34,10.3,61
24,9,2021,0,5,31.2,45.57,28.98,8.13,0.41,11.16,55
25,9,2021,0,6,29.94,52.34,25.04,8.12,0.36,11.41,50
26,9,2021,1,7,39.82,60.03,28.45,8.19,0.53,13.06,55
27,9,2021,0,1,57.51,110.73,32.18,8.25,0.7,12.82,102
28,9,2021,0,2,48.43,99.35,32.47,8.2,0.57,12.13,103
29,9,2021,0,3,44.98,95.02,29.83,8.09,0.72,12.02,86
30,9,2021,0,4,34.88,80.39,32.85,7.29,0.88,12.77,82
1,10,2021,0,5,56.87,137.83,38.56,9.12,1.24,14.74,108
2,10,2021,1,6,66.65,107.55,28.64,8.2,0.74,14.66,130
3,10,2021,1,7,46.59,106.1,23.52,8.64,0.64,14.95,91
4,10,2021,0,1,37.73,105.88,20.43,8.79,0.61,15.15,94
5,10,2021,0,2,41.88,96.77,33.02,9.17,0.79,22.7,105
6,10,2021,0,3,45.09,92.96,28.48,9.52,0.69,20.95,85
7,10,2021,0,4,64.65,117.52,44.95,9.55,0.87,33.12,105
8,10,2021,0,5,68.31,179.04,40.87,7.71,1.13,38.89,138
9,10,2021,0,6,79.29,214.39,52.39,7.74,1.22,37.67,181
10,10,2021,1,7,77.59,186.18,44.57,7.74,1.39,37.77,181
11,10,2021,0,1,79.17,207.03,46.88,8.22,1.78,36.23,168
12,10,2021,0,2,79.44,199.22,44.2,7.93,1.48,38.5,181
13,10,2021,0,3,75.56,181.8,31.41,7.78,0.96,57.19,146
14,10,2021,0,4,76.6,182.05,42.55,7.8,0.99,61.36,171
15,10,2021,1,5,99.7,194.26,49.88,8,1.37,55.28,199
16,10,2021,0,6,145.48,248.36,50.86,8.14,1.85,50.33,273
17,10,2021,1,7,224,260.6,48.41,8.07,1.9,34.06,327
18,10,2021,0,1,27.65,22.37,24.42,7.84,0.51,27.19,32
19,10,2021,1,2,48.43,81.37,27.97,7.93,0.81,35.42,49
20,10,2021,0,3,116.65,183.52,54.74,6.9,1.63,37.59,234
21,10,2021,0,4,82.51,208.51,58.77,5.82,1.39,35.41,193
